route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11682,201,weekday_112,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_113,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_114,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_115,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_116,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_117,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_118,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_119,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_120,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_121,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_122,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_123,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_124,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_125,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_126,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_127,JOHNS HOPKINS STATION (METRO),,0,307,omjh,1,1
11682,201,weekday_128,OWINGS MILLS STATION (METRO),,1,307,jhom,1,1
11682,201,weekday_129,OWINGS MILLS STATION (METRO),,1,305,rpom,1,1
11682,201,weekday_130,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_131,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_132,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_133,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_134,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_135,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_136,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_137,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_138,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_139,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_140,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_141,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_142,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_143,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_144,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_145,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_146,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_147,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_148,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_149,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_150,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_151,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_152,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_153,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_154,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_155,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_156,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_157,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_158,JOHNS HOPKINS STATION (METRO),,0,305,omjh,1,1
11682,201,weekday_159,OWINGS MILLS STATION (METRO),,1,305,jhom,1,1
11682,201,weekday_160,OWINGS MILLS STATION (METRO),,1,308,rpom,1,1
11682,201,weekday_161,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_162,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_163,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_164,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_165,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_166,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_167,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_168,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_169,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_170,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_171,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_172,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_173,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_174,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_175,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_176,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_177,JOHNS HOPKINS STATION (METRO),,0,308,omjh,1,1
11682,201,weekday_178,OWINGS MILLS STATION (METRO),,1,308,jhom,1,1
11682,201,weekday_179,OWINGS MILLS STATION (METRO),,1,302,rpom,1,1
11682,201,weekday_180,REISTERSTOWN PLAZA STATION (METRO) nb,,0,302,omrp,1,1
11682,201,weekday_181,JOHNS HOPKINS STATION (METRO),,0,302,rpjh,1,1
11682,201,weekday_182,OWINGS MILLS STATION (METRO),,1,302,jhom,1,1
11682,201,weekday_183,JOHNS HOPKINS STATION (METRO),,0,302,omjh,1,1
